Region,Country,State,City,Month,Day,Year,AvgTemperature
Africa,Algeria,,Algiers,1,1,2020,46.3
Africa,Benin,,Cotonou,1,1,2020,81.8
Africa,Central African Republic,,Bangui,1,1,2020,80.9
Africa,Congo,,Brazzaville,1,1,2020,77.2
Africa,Egypt,,Cairo,1,1,2020,57.1
Africa,Ethiopia,,Addis Ababa,1,1,2020,61.9
Africa,Gabon,,Libreville,1,1,2020,83.9
Africa,Gambia,,Banjul,1,1,2020,76.9
Africa,Guinea,,Conakry,1,1,2020,83.5
Africa,Guinea-Bissau,,Bissau,1,1,2020,79.7
Africa,Ivory Coast,,Abidjan,1,1,2020,81.9
Africa,Kenya,,Nairobi,1,1,2020,68.5
Africa,Morocco,,Rabat,1,1,2020,51.0
Africa,Madagascar,,Antananarivo,1,1,2020,69.8
Africa,Mozambique,,Maputo,1,1,2020,80.5
Africa,Namibia,,Windhoek,1,1,2020,76.0
Africa,Nigeria,,Niamey,1,1,2020,73.2
Africa,Nigeria,,Lagos,1,1,2020,79.6
Africa,Senegal,,Dakar,1,1,2020,76.4
Africa,South Africa,,Capetown,1,1,2020,70.0
Africa,Togo,,Lome,1,1,2020,80.9
Africa,Tunisia,,Tunis,1,1,2020,51.0
Africa,Tanzania,,Dar Es Salaam,1,1,2020,84.5
Africa,Uganda,,Kampala,1,1,2020,74.8
Asia,China,,Beijing,1,1,2020,20.3
Asia,China,,Chengdu,1,1,2020,48.0
Asia,China,,Guangzhou,1,1,2020,63.0
Asia,China,,Shanghai,1,1,2020,47.3
Asia,China,,Shenyang,1,1,2020,6.6
Asia,Hong Kong,,Hong Kong,1,1,2020,65.7
Asia,India,,Bombay (Mumbai),1,1,2020,74.0
Asia,India,,Calcutta,1,1,2020,64.5
Asia,India,,Chennai (Madras),1,1,2020,78.2
Asia,India,,Delhi,1,1,2020,51.5
Asia,Indonesia,,Jakarta,1,1,2020,80.0
Asia,Japan,,Osaka,1,1,2020,44.6
Asia,Japan,,Sapporo,1,1,2020,21.9
Asia,Japan,,Tokyo,1,1,2020,44.4
Asia,Kazakhstan,,Almaty,1,1,2020,29.1
Asia,Kyrgyzstan,,Bishkek,1,1,2020,33.8
Asia,Laos,,Vientiane,1,1,2020,79.7
Asia,Malaysia,,Kuala Lumpur,1,1,2020,84.8
Asia,Mongolia,,Ulan-bator,1,1,2020,-10.2
Asia,Myanmar (Burma),,Rangoon,1,1,2020,77.8
Asia,Nepal,,Katmandu,1,1,2020,48.9
Asia,North Korea,,Pyongyang,1,1,2020,22.8
Asia,Pakistan,,Islamabad,1,1,2020,50.1
Asia,Pakistan,,Karachi,1,1,2020,59.3
Asia,Philippines,,Manila,1,1,2020,80.2
Asia,Singapore,,Singapore,1,1,2020,82.4
Asia,South Korea,,Seoul,1,1,2020,32.0
Asia,Sri Lanka,,Colombo,1,1,2020,81.0
Asia,Taiwan,,Taipei,1,1,2020,61.9
Asia,Tajikistan,,Dusanbe,1,1,2020,41.9
Asia,Turkmenistan,,Ashabad,1,1,2020,45.2
Asia,Uzbekistan,,Tashkent,1,1,2020,34.8
Asia,Vietnam,,Hanoi,1,1,2020,70.5
Australia/South Pacific,Australia,,Brisbane,1,1,2020,78.1
Australia/South Pacific,Australia,,Canberra,1,1,2020,68.6
Australia/South Pacific,Australia,,Melbourne,1,1,2020,71.6
Australia/South Pacific,Australia,,Perth,1,1,2020,74.3
Australia/South Pacific,Australia,,Sydney,1,1,2020,65.3
Australia/South Pacific,New Zealand,,Auckland,1,1,2020,64.8
Europe,Albania,,Tirana,1,1,2020,40.8
Europe,Austria,,Vienna,1,1,2020,37.8
Europe,Belarus,,Minsk,1,1,2020,33.2
Europe,Belgium,,Brussels,1,1,2020,35.4
Europe,Bulgaria,,Sofia,1,1,2020,32.6
Europe,Croatia,,Zagreb,1,1,2020,33.2
Europe,Czech Republic,,Prague,1,1,2020,31.7
Europe,Denmark,,Copenhagen,1,1,2020,38.2
Europe,Finland,,Helsinki,1,1,2020,34.2
Europe,France,,Paris,1,1,2020,35.9
Europe,France,,Bordeaux,1,1,2020,49.8
Europe,Germany,,Munich,1,1,2020,32.8
Europe,Hungary,,Budapest,1,1,2020,31.7
Europe,Iceland,,Reykjavik,1,1,2020,35.8
Europe,Ireland,,Dublin,1,1,2020,40.0
Europe,Italy,,Milan,1,1,2020,35.9
Europe,Italy,,Rome,1,1,2020,41.7
Europe,Latvia,,Riga,1,1,2020,37.3
Europe,Macedonia,,Skopje,1,1,2020,36.8
Europe,The Netherlands,,Amsterdam,1,1,2020,35.5
Europe,Norway,,Oslo,1,1,2020,35.6
Europe,Poland,,Warsaw,1,1,2020,34.6
Europe,Portugal,,Lisbon,1,1,2020,46.3
Europe,Romania,,Bucharest,1,1,2020,35.6
Europe,Russia,,Moscow,1,1,2020,29.2
Europe,Slovakia,,Bratislava,1,1,2020,37.4
Europe,Spain,,Barcelona,1,1,2020,46.3
Europe,Spain,,Bilbao,1,1,2020,45.2
Europe,Spain,,Madrid,1,1,2020,37.9
Europe,Sweden,,Stockholm,1,1,2020,39.3
Europe,Switzerland,,Bern,1,1,2020,28.6
Europe,Switzerland,,Geneva,1,1,2020,35.0
Europe,Switzerland,,Zurich,1,1,2020,28.7
Europe,Ukraine,,Kiev,1,1,2020,33.1
Europe,United Kingdom,,Belfast,1,1,2020,43.3
Europe,United Kingdom,,London,1,1,2020,41.5
Europe,Yugoslavia,,Belgrade,1,1,2020,32.5
Middle East,Bahrain,,Manama,1,1,2020,69.4
Middle East,Jordan,,Amman,1,1,2020,46.8
Middle East,Kuwait,,Kuwait,1,1,2020,57.1
